agencyCode,agencyName,budgetAccountCode,budgetAccountName,fiscalYear,fundingType,amount
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2022,"CIO Authority",0
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2022,"Budget Authority",0
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2022,"Funding Total",22.191038
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2022,"CIO Authority",0
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2022,"Budget Authority",0
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2022,"Funding Total",709.137524
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2022,"Funding Total",50.627977
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2022,"Funding Total",712.24816
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2022,"CIO Authority",0
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2022,"Budget Authority",0
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2022,"Funding Total",234.697612
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2022,"CIO Authority",0
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2022,"Budget Authority",0
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2022,"Funding Total",88.364848
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2022,"Funding Total",24.260728
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2022,"CIO Authority",0
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2022,"Budget Authority",0
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2022,"Funding Total",113.560106
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2022,"CIO Authority",0
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2022,"Budget Authority",0
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2022,"Funding Total",318.27513
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2022,"CIO Authority",0
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2022,"Budget Authority",0
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2022,"Funding Total",30.043345
006,"Department of Commerce",006-25-1250,"Operations and Administration",2022,"CIO Authority",0
006,"Department of Commerce",006-25-1250,"Operations and Administration",2022,"Budget Authority",0
006,"Department of Commerce",006-25-1250,"Operations and Administration",2022,"Funding Total",69.548727
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2022,"CIO Authority",0
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2022,"Budget Authority",0
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2022,"Funding Total",13.998073
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2022,"CIO Authority",0
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2022,"Budget Authority",0
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2022,"Funding Total",32.052
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2022,"Funding Total",2.020302
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2022,"CIO Authority",0
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2022,"Budget Authority",0
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2022,"Funding Total",99.506624
006,"Department of Commerce",006-30-0300,"Operations and Administration",2022,"CIO Authority",0
006,"Department of Commerce",006-30-0300,"Operations and Administration",2022,"Budget Authority",0
006,"Department of Commerce",006-30-0300,"Operations and Administration",2022,"Funding Total",22.897009
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2022,"CIO Authority",0
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2022,"Budget Authority",0
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2022,"Funding Total",26.572267
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2022,"CIO Authority",0
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2022,"Budget Authority",0
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2022,"Funding Total",0.82384
006,"Department of Commerce",006-40-0201,"Minority Business Development",2022,"CIO Authority",0
006,"Department of Commerce",006-40-0201,"Minority Business Development",2022,"Budget Authority",0
006,"Department of Commerce",006-40-0201,"Minority Business Development",2022,"Funding Total",3.252636
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2022,"CIO Authority",0
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2022,"Budget Authority",0
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2022,"Funding Total",21.429248
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2022,"CIO Authority",0
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2022,"Budget Authority",0
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2022,"Funding Total",5.94
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2022,"CIO Authority",0
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2022,"Budget Authority",0
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2022,"Funding Total",9.261613
006,"Department of Commerce",006-06-2050,"Economic Development Assistance Programs",2022,"CIO Authority",0
006,"Department of Commerce",006-06-2050,"Economic Development Assistance Programs",2022,"Budget Authority",0
006,"Department of Commerce",006-06-2050,"Economic Development Assistance Programs",2022,"Funding Total",3.566663
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2023,"CIO Authority",552.023282
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2023,"Budget Authority",9318.621811
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2023,"Funding Total",612.473329
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2023,"CIO Authority",110.016967
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2023,"Budget Authority",108.981424
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2023,"Funding Total",119.158176
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2023,"CIO Authority",22.436019
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2023,"Budget Authority",22.019952
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2023,"Funding Total",22.981805
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2023,"CIO Authority",726.255542
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2023,"Budget Authority",726.255544
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2023,"Funding Total",759.699792
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2023,"CIO Authority",117.459397
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2023,"Budget Authority",110.018893
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2023,"Funding Total",112.314896
006,"Department of Commerce",006-25-1250,"Operations and Administration",2023,"CIO Authority",67.776441
006,"Department of Commerce",006-25-1250,"Operations and Administration",2023,"Budget Authority",66.264387
006,"Department of Commerce",006-25-1250,"Operations and Administration",2023,"Funding Total",67.975296
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2023,"CIO Authority",21.216281
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2023,"Budget Authority",21.216281
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2023,"Funding Total",18.248766
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2023,"CIO Authority",29.393925
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2023,"Budget Authority",10.857618
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2023,"Funding Total",27.466521
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2023,"CIO Authority",32.052
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2023,"Budget Authority",32.052
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2023,"Funding Total",33.043
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2023,"CIO Authority",6.784685
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2023,"Budget Authority",309.101782
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2023,"Funding Total",335.828629
006,"Department of Commerce",006-30-0300,"Operations and Administration",2023,"CIO Authority",22.897009
006,"Department of Commerce",006-30-0300,"Operations and Administration",2023,"Budget Authority",22.897009
006,"Department of Commerce",006-30-0300,"Operations and Administration",2023,"Funding Total",23.020066
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2023,"CIO Authority",32.571442
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2023,"Budget Authority",32.571442
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2023,"Funding Total",60.429114
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2023,"CIO Authority",397.434279
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2023,"Budget Authority",346.720712
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2023,"Funding Total",294.67375
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2023,"CIO Authority",26.869947
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2023,"Budget Authority",26.869947
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2023,"Funding Total",32.448194
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2023,"CIO Authority",0.969512
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2023,"Budget Authority",98.492891
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2023,"Funding Total",0.969512
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2023,"CIO Authority",0.553799
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2023,"Budget Authority",98.433722
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2023,"Funding Total",130.270357
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2023,"CIO Authority",11.228163
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2023,"Budget Authority",59.210479
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2023,"Funding Total",22.930056
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2023,"CIO Authority",1.686407
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2023,"Budget Authority",1.686407
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2023,"Funding Total",2.190848
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2023,"CIO Authority",5.94
